index,Series,Vol,OI,TrdDate,VolTemp,OITemp
342,JAS,14899,59692,2021-07-22,14899,59692
348,JMT,302,3148,2021-07-22,302,3148
354,KBANK,1354,13030,2021-07-22,1354,13030
360,KCE,3377,5298,2021-07-22,3377,5298
366,KEX,228,926,2021-07-22,228,926
372,KKP,180,1601,2021-07-22,180,1601
378,KTB,4344,22953,2021-07-22,4344,22953
384,KTC,203,47951,2021-07-22,203,47951
390,LH,17,7108,2021-07-22,17,7108
396,LPN,509,9248,2021-07-22,509,9248
402,M,92,2920,2021-07-22,92,2920
408,MAJOR,301,7467,2021-07-22,301,7467
414,MBK,2,6176,2021-07-22,2,6176
420,MEGA,210,442,2021-07-22,210,442
426,MINT,816,5695,2021-07-22,816,5695
432,MTC,1253,3303,2021-07-22,1253,3303
438,OR,24,7144,2021-07-22,24,7144
444,ORI,500,22568,2021-07-22,500,22568
450,OSP,102,3891,2021-07-22,102,3891
456,PLANB,502,17576,2021-07-22,502,17576
462,PRM,28,32104,2021-07-22,28,32104
468,PSH,104,1575,2021-07-22,104,1575
474,PSL,548,10553,2021-07-22,548,10553
480,PTG,207,14937,2021-07-22,207,14937
486,PTT,852,13182,2021-07-22,852,13182
492,PTTEP,254,1458,2021-07-22,254,1458
498,PTTGC,566,13907,2021-07-22,566,13907
504,QH,1500,22957,2021-07-22,1500,22957
510,RATCH,27,3850,2021-07-22,27,3850
516,RS,300,87408,2021-07-22,300,87408
522,S,0,36210,2021-07-22,0,36210
528,SAMART,57,8755,2021-07-22,57,8755
534,SAWAD,61,7720,2021-07-22,61,7720
540,SCB,4149,4154,2021-07-22,4149,4154
546,SCC,1167,3946,2021-07-22,1167,3946
552,SCGP,400,10450,2021-07-22,400,10450
558,SGP,0,3061,2021-07-22,0,3061
564,SIRI,28091,152148,2021-07-22,28091,152148
570,SPALI,6030,397,2021-07-22,6030,397
576,SPCG,1,8339,2021-07-22,1,8339
582,SPRC,505,7588,2021-07-22,505,7588
588,STA,817,14292,2021-07-22,817,14292
594,STEC,312,14921,2021-07-22,312,14921
600,STGT,822,7996,2021-07-22,822,7996
606,STPI,0,19190,2021-07-22,0,19190
612,SUPER,1420,241608,2021-07-22,1420,241608
618,TASCO,534,8199,2021-07-22,534,8199
624,TCAP,1,1282,2021-07-22,1,1282
630,THAI,0,18,2021-07-22,0,18
636,THANI,0,5552,2021-07-22,0,5552
