index,Series,Vol,OI,TrdDate,Avg5,Avg10
18,AEONTS,131,537,2020-11-20,,
24,AMATA,284,1990,2020-11-20,,
30,AOT,799,9483,2020-11-20,,
36,AP,41,1180,2020-11-20,,
42,BA,507,1760,2020-11-20,,
48,BANPU,5821,37051,2020-11-20,,
54,BAY,205,339,2020-11-20,,
60,BBL,1713,2178,2020-11-20,,
66,BCH,400,4421,2020-11-20,,
72,BCP,659,2022,2020-11-20,,
78,BCPG,121,5729,2020-11-20,,
84,BDMS,3543,8106,2020-11-20,,
90,BEAUTY,3206,24111,2020-11-20,,
96,BEC,7832,37347,2020-11-20,,
102,BEM,1566,11879,2020-11-20,,
108,BGRIM,878,3356,2020-11-20,,
114,BH,998,1185,2020-11-20,,
120,BJC,176,1086,2020-11-20,,
126,BLA,150,289,2020-11-20,,
132,BLAND,1913,355012,2020-11-20,,
138,BPP,206,2991,2020-11-20,,
144,BTS,11127,52672,2020-11-20,,
150,CBG,3400,16447,2020-11-20,,
156,CENTEL,526,3040,2020-11-20,,
162,CHG,3111,4346,2020-11-20,,
168,CK,326,3352,2020-11-20,,
174,CKP,2129,4701,2020-11-20,,
180,COM7,110,5277,2020-11-20,,
186,CPALL,411,9938,2020-11-20,,
192,CPF,5100,23903,2020-11-20,,
198,CPN,465,1088,2020-11-20,,
204,DELTA,122,1031,2020-11-20,,
210,DTAC,277,2747,2020-11-20,,
216,EA,634,7035,2020-11-20,,
222,EASTW,0,800,2020-11-20,,
228,EGCO,190,1717,2020-11-20,,
234,EPG,1000,3727,2020-11-20,,
240,ERW,1734,6729,2020-11-20,,
246,ESSO,7,5907,2020-11-20,,
252,GFPT,100,3685,2020-11-20,,
258,GLOBAL,301,6321,2020-11-20,,
264,GPSC,1826,4103,2020-11-20,,
270,GULF,8590,24031,2020-11-20,,
276,GUNKUL,3579,35563,2020-11-20,,
282,HANA,309,1034,2020-11-20,,
288,HMPRO,1650,1817,2020-11-20,,
294,ICHI,1525,17069,2020-11-20,,
300,INTUCH,318,2523,2020-11-20,,
306,IRPC,10333,35692,2020-11-20,,
312,ITD,1108,3552,2020-11-20,,
318,IVL,2087,5666,2020-11-20,,
324,JAS,9615,52049,2020-11-20,,
